"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Saúl Ñíguez","2017-2018",22,3155,2,4,9,0,17,9,14130,809,210,1650,570,90,1560,570,203,"Atlético Madrid","Spain","Spain","Midfielder","left",7e+09,0
"Saúl Ñíguez","2018-2019",23,2925,4,1,10,0,15,20,12460,770,150,1060,430,50,1110,690,20,"Atlético Madrid","Spain","Spain","Midfielder","left",9e+09,0
"Saúl Ñíguez","2019-2020",24,3072,6,0,10,0,18,8,13760,794,180,1630,520,20,1200,920,186,"Atlético Madrid","Spain","Spain","Midfielder","left",7.2e+07,0
"Saúl Ñíguez","2020-2021",25,2033,2,1,10,0,13,10,9950,837,250,730,350,30,940,330,224,"Atlético Madrid","Spain","Spain","Midfielder","left",4e+09,0
"Sauli Väisänen","2017-2018",23,541,0,0,1,0,0,0,2400,879,10,90,20,0,130,280,57,"SPAL","Italy","Finland","Defender","right",4e+07,0
"Scott Arfield","2017-2018",28,1333,2,1,3,0,2,7,2510,680,70,260,210,30,520,200,111,"Burnley","England","Canada","Midfielder","left",3e+08,0
"Scott Dann","2020-2021",33,1350,1,0,1,0,7,2,5080,841,10,280,50,0,180,750,107,"Crystal Palace","England","England","Defender","right",1500000,0
"Scott Dann","2017-2018",30,1435,1,0,4,0,6,4,4510,808,40,370,100,10,400,1170,82,"Crystal Palace","England","England","Defender","right",5e+08,0
"Scott Dann","2018-2019",31,663,0,1,1,0,14,1,1900,782,0,150,40,10,70,620,20,"Crystal Palace","England","England","Defender","right",4e+08,0
"Scott Dann","2019-2020",32,1266,0,1,0,0,7,2,4610,831,50,280,70,10,230,800,113,"Crystal Palace","England","England","Defender","right",2800000,0
"Scott Malone","2017-2018",26,1119,0,1,3,0,8,2,4830,695,100,510,190,20,720,530,82,"Huddersfield","England","England","Defender","left",3e+08,0
"Scott McTominay","2017-2018",20,634,0,0,2,0,0,0,3150,892,20,350,60,0,210,140,238,"Manchester Utd","England","Scotland","Midfielder","right",7e+08,0
"Scott McTominay","2018-2019",21,867,2,0,1,0,21,6,3860,854,10,290,50,0,220,240,175,"Manchester Utd","England","Scotland","Midfielder","right",1.2e+07,0
"Scott McTominay","2019-2020",22,1772,4,1,2,0,25,10,8160,820,140,820,340,20,730,520,185,"Manchester Utd","England","Scotland","Midfielder","right",22500000,0
"Scott McTominay","2020-2021",23,2129,4,1,3,0,21,7,11090,873,140,1040,330,30,990,540,194,"Manchester Utd","England","Scotland","Midfielder","right",3.5e+07,0
"Sean Longstaff","2018-2019",20,687,1,0,2,0,13,2,2360,803,50,270,130,20,320,120,144,"Newcastle Utd","England","England","Midfielder","right",7e+08,0
"Sean Longstaff","2019-2020",21,1378,1,1,2,1,13,6,5150,784,150,380,320,30,620,300,113,"Newcastle Utd","England","England","Midfielder","right",17500000,0
"Sean Longstaff","2020-2021",22,1412,0,1,2,0,6,5,4520,790,110,400,210,20,550,210,155,"Newcastle Utd","England","England","Midfielder","right",1.5e+07,0
"Sean Morrison","2018-2019",27,3039,1,3,6,0,12,7,5190,593,180,510,270,40,930,2170,82,"Cardiff City","England","England","Defender","right",5e+08,0
"Sebastiaan Bornauw","2019-2020",20,2447,6,0,5,1,22,7,9950,820,50,630,140,0,730,1400,104,"Köln","Germany","Belgium","Defender","right",1.1e+07,0
"Sebastiaan Bornauw","2020-2021",21,2083,1,1,3,0,9,4,7480,838,10,330,20,10,610,1370,104,"Köln","Germany","Belgium","Defender","right",1.2e+07,0
"Sebastian Andersson","2020-2021",29,1126,3,0,1,0,24,14,1750,711,50,90,120,30,80,90,69,"Köln","Germany","Sweden","Forward","right",4500000,0
"Sebastian Andersson","2019-2020",28,2682,12,1,5,0,44,35,4950,623,200,470,460,70,240,400,115,"Union Berlin","Germany","Sweden","Forward","right",4800000,0
"Sebastián Cristóforo","2018-2019",24,450,0,2,3,0,4,1,1200,774,60,150,130,30,220,50,207,"Getafe","Spain","Uruguay","Midfielder","right",1800000,0
"Sebastián Cristóforo","2019-2020",25,90,0,0,0,0,0,0,2320,739,70,300,150,0,490,20,0,"Fiorentina","Italy","Uruguay","Midfielder","right",1200000,0
"Sebastián Cristóforo","2018-2019",24,450,0,2,3,0,4,1,1200,774,60,150,130,30,220,50,207,"Getafe","Spain","Uruguay","Midfielder","right",1800000,0
"Sebastián Cristóforo","2019-2020",25,877,0,0,1,0,0,3,410,837,30,10,50,0,70,0,128,"Eibar","Spain","Uruguay","Midfielder","right",1200000,0
"Sebastián Cristóforo","2019-2020",25,877,0,0,1,0,0,3,410,837,30,10,50,0,70,0,128,"Eibar","Spain","Uruguay","Midfielder","right",1200000,0
"Sebastián Cristóforo","2017-2018",23,268,0,0,1,0,0,0,1580,806,20,160,70,0,210,60,214,"Fiorentina","Italy","Uruguay","Midfielder","right",1800000,0
"Sebastián Cristóforo","2019-2020",25,90,0,0,0,0,0,0,2320,739,70,300,150,0,490,20,0,"Fiorentina","Italy","Uruguay","Midfielder","right",1200000,0
"Sebastian Griesbeck","2020-2021",29,890,0,0,3,0,0,1,1720,741,10,180,60,10,300,110,158,"Union Berlin","Germany","Germany","Midfielder","right",1e+08,0
"Sebastian Jung","2017-2018",27,78,0,0,1,0,0,0,180,667,0,20,0,0,10,60,15,"Wolfsburg","Germany","Germany","Defender","right",5e+07,0
"Sebastian Jung","2018-2019",28,56,0,0,0,0,0,0,470,839,10,50,30,10,10,0,30,"Wolfsburg","Germany","Germany","Defender","right",5e+07,0
