Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Naby Keïta;25;520;0;0;1;0;0;2;3110;874;60;320;150;10;190;60;24;2020-2021;Liverpool;England;Guinea;Midfielder
Nacho;30;2000;1;0;8;0;5;3;11240;907;40;550;140;40;710;750;233;2020-2021;Real Madrid;Spain;Spain;Defender
Nacho;31;1813;0;1;3;1;5;1;7600;722;230;700;440;30;650;480;87;2020-2021;Valladolid;Spain;Spain;Defender
Nacho Monreal;34;2082;1;1;1;0;9;1;9810;809;100;600;200;20;630;670;173;2020-2021;Real Sociedad;Spain;Spain;Defender
Nacho Vidal;25;2348;0;0;10;0;0;2;7160;711;150;630;300;20;1100;980;121;2020-2021;Osasuna;Spain;Spain;Defender
Nadiem Amiri;23;1890;2;6;5;0;38;14;9460;828;370;980;710;110;380;60;162;2020-2021;Leverkusen;Germany;Germany;Midfielder
Nahitan Nández;24;2737;2;2;8;1;13;14;9320;755;320;740;730;130;880;490;106;2020-2021;Cagliari;Italy;Uruguay;Midfielder
Nahuel Estévez;24;1768;0;3;7;0;15;8;6770;746;230;730;470;90;490;290;85;2020-2021;Spezia;Italy;Argentina;Midfielder
Nahuel Molina;22;1828;2;5;1;0;34;6;7820;775;220;810;420;120;620;450;10;2020-2021;Udinese;Italy;Argentina;Defender
Nampalys Mendy;28;1459;0;1;5;0;6;2;8820;914;60;490;150;20;440;110;157;2020-2021;Leicester City;England;Senegal;Midfielder
Nano;25;9;0;0;0;0;0;0;10;333;0;0;0;0;0;0;10;2020-2021;Cádiz;Spain;Spain;Forward
Naomichi Ueda;25;711;0;0;0;0;0;1;2780;801;50;210;70;0;150;540;10;2020-2021;Nîmes;France;Japan;Defender
Naouirou Ahamada;18;252;0;0;2;1;0;1;1080;900;10;70;20;0;60;10;5;2020-2021;Stuttgart;Germany;France;Midfielder
Nassim Boujellab;21;605;1;0;2;0;15;6;1330;723;40;140;140;0;230;100;25;2020-2021;Schalke 04;Germany;Morocco;Midfielder
Nassim Chadli;19;31;0;0;0;0;0;0;120;800;0;20;0;0;20;0;10;2020-2021;Nîmes;France;France;Forward
Nathan Aké;25;797;1;0;4;0;11;1;7020;930;10;360;30;0;210;260;17;2020-2021;Manchester City;England;Netherlands;Defender
Nathan Broadhead;22;3;0;0;0;0;0;0;20;1000;0;0;0;0;10;0;10;2020-2021;Everton;England;Wales;Midfielder
Nathan Redmond;26;1738;2;3;1;0;26;14;5640;759;290;740;580;40;500;110;107;2020-2021;Southampton;England;England;Midfielder
Nathan Tella;21;745;1;1;2;0;24;7;1070;733;60;60;190;20;210;50;83;2020-2021;Southampton;England;England;Forward
Nathan de Medina;22;639;0;1;5;1;14;0;2100;665;30;130;50;10;320;270;106;2020-2021;Arminia;Germany;Belgium;Defender
Nathanael Mbuku;18;2210;4;1;3;0;2;18;4480;767;240;670;600;60;490;90;109;2020-2021;Reims;France;France;Midfielder
Nathaniel Clyne;29;1145;0;1;2;0;8;1;4370;768;40;250;70;10;340;320;131;2020-2021;Crystal Palace;England;England;Defender
Nathaniel Phillips;23;1456;1;1;2;0;12;1;9230;872;60;600;110;10;470;1430;224;2020-2021;Liverpool;England;England;Defender
Nayef Aguerd;24;3147;3;1;6;0;11;6;24300;914;40;1360;140;10;940;1810;154;2020-2021;Rennes;France;Morocco;Defender
Neal Maupay;23;2512;8;2;1;1;36;22;5080;774;310;410;790;80;360;90;109;2020-2021;Brighton;England;France;Forward
Neco Williams;19;249;0;0;1;0;0;0;1560;732;30;170;40;0;110;40;183;2020-2021;Liverpool;England;Wales;Defender
Neeskens Kebano;28;119;0;0;0;0;0;0;330;786;0;20;30;0;10;10;2;2020-2021;Fulham;England;Democratic Republic of the Congo;Forward
Nehuén Paz;27;363;1;0;0;0;25;1;2040;857;10;150;40;0;210;150;67;2020-2021;Bologna;Italy;Argentina;Defender
Nehuén Pérez;20;741;0;0;4;0;0;1;1500;781;0;60;10;0;160;440;136;2020-2021;Granada;Spain;Argentina;Defender
Neil Taylor;31;16;0;0;1;0;0;0;100;909;0;0;0;0;10;0;0;2020-2021;Aston Villa;England;Wales;Defender
Nelson Sissoko;23;474;0;0;0;0;0;0;2080;743;20;150;50;0;190;210;56;2020-2021;Saint-Étienne;France;France;Defender
Nemanja Gudelj;28;1041;0;0;8;0;0;1;7270;939;20;220;70;0;410;400;217;2020-2021;Sevilla;Spain;Serbia;Midfielder
Nemanja Maksimović;25;2728;1;0;5;0;3;4;5810;770;190;530;400;10;1060;810;10;2020-2021;Getafe;Spain;Serbia;Midfielder
Nemanja Matić;31;1106;0;0;2;0;0;3;8820;905;70;790;200;30;420;210;215;2020-2021;Manchester Utd;England;Serbia;Midfielder
Nemanja Radoja;27;1121;0;2;1;0;16;0;6030;883;30;520;80;30;310;230;11;2020-2021;Levante;Spain;Serbia;Midfielder
Nemanja Radonjić;24;396;2;1;2;0;68;7;1590;639;80;330;210;60;130;10;142;2020-2021;Marseille;France;Serbia;Forward
Nemanja Radonjić;24;611;1;2;1;0;44;7;870;608;50;130;100;10;100;10;117;2020-2021;Hertha BSC;Germany;Serbia;Forward
Neymar;28;1415;9;5;7;2;89;16;7760;778;540;1330;1300;160;200;0;194;2020-2021;Paris S-G;France;Brazil;Midfielder
Niall Huggins;19;38;0;0;0;0;0;0;170;739;0;0;0;0;0;0;0;2020-2021;Leeds United;England;Wales;Defender
Nianzou Kouassi;18;118;0;0;1;1;0;0;780;907;0;80;20;0;30;80;217;2020-2021;Bayern Munich;Germany;France;Defender
Niccolò Zanellato;22;1637;1;1;3;0;11;1;6080;806;90;550;240;30;410;170;78;2020-2021;Crotone;Italy;Italy;Midfielder
