Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
José Luis Morales;31;3195;12;5;7;0;48;27;5480;678;410;620;1150;180;340;80;116;2018-2019;Levante;Spain;Spain;Forward
José Luis Palomino;28;2261;1;1;6;1;8;3;11580;888;50;440;180;10;970;1080;19;2018-2019;Atalanta;Italy;Argentina;Defender
José María Giménez;23;1772;0;0;5;0;0;4;5960;810;20;260;60;0;580;1240;20;2018-2019;Atlético Madrid;Spain;Uruguay;Defender
José Mauri;22;208;0;0;0;0;0;0;880;871;20;50;50;10;120;10;20;2018-2019;Milan;Italy;Italy;Midfielder
José Pozo;22;1617;3;0;4;0;17;9;6170;803;290;730;650;30;230;80;66;2018-2019;Rayo Vallecano;Spain;Spain;Midfielder
José Ángel;28;3028;1;1;10;0;6;4;14030;653;530;1850;870;60;1130;1320;131;2018-2019;Eibar;Spain;Spain;Defender
Jozabed;27;1155;0;0;1;0;0;3;6110;847;90;480;220;0;280;80;12;2018-2019;Celta Vigo;Spain;Spain;Midfielder
Jozo Stanić;19;3;0;0;0;0;0;0;30;1000;0;0;0;0;0;0;0;2018-2019;Augsburg;Germany;Croatia;Defender
João Cancelo;24;1968;1;3;6;0;18;6;12610;826;320;1270;780;90;630;310;224;2018-2019;Juventus;Italy;Portugal;Defender
João Moutinho;31;3032;1;8;4;0;27;3;16590;805;810;1860;1190;140;1450;490;15;2018-2019;Wolves;England;Portugal;Midfielder
João Mário;25;1082;1;2;2;0;25;3;6150;828;200;600;460;40;310;30;19;2018-2019;Inter;Italy;Portugal;Midfielder
João Pedro;26;2555;7;2;5;1;32;17;5890;721;330;430;750;60;240;140;109;2018-2019;Cagliari;Italy;Brazil;Forward
Joël Matip;26;1537;1;0;3;0;6;2;11530;880;20;570;90;10;530;970;255;2018-2019;Liverpool;England;Cameroon;Defender
Juan Aguilera;32;344;0;0;1;0;0;1;1630;881;10;110;50;0;40;30;17;2018-2019;Huesca;Spain;Spain;Midfielder
Juan Bernat;25;1836;1;2;6;1;15;1;10630;884;230;570;430;60;620;350;228;2018-2019;Paris S-G;France;Spain;Defender
Juan Cuadrado;30;1220;1;2;4;0;22;3;6840;843;280;830;540;20;340;70;206;2018-2019;Juventus;Italy;Colombia;Midfielder
Juan Ferney Otero;23;2175;2;2;1;0;17;13;5300;699;260;530;630;50;400;130;10;2018-2019;Amiens;France;Colombia;Forward
Juan Foyth;20;888;1;0;3;1;1;1;5080;861;30;180;90;10;490;410;175;2018-2019;Tottenham;England;Argentina;Defender
Juan Jesus;27;1403;1;0;4;0;6;1;7600;913;10;310;60;0;510;480;175;2018-2019;Roma;Italy;Brazil;Defender
Juan Manuel Valencia;20;28;0;0;1;0;0;0;90;900;0;10;0;0;0;0;0;2018-2019;Bologna;Italy;Colombia;Forward
Juan Mata;30;1289;3;2;3;0;35;6;6190;808;290;590;490;70;120;80;182;2018-2019;Manchester Utd;England;Spain;Forward
Juanfran;33;1609;0;2;7;0;11;0;7960;810;190;710;450;20;610;280;182;2018-2019;Atlético Madrid;Spain;Spain;Defender
Juanfran;29;1459;1;1;0;0;12;3;4500;673;240;660;370;20;330;240;104;2018-2019;Leganés;Spain;Spain;Defender
Juanjo Camacho;37;37;0;0;0;0;0;2;130;591;20;0;20;0;30;40;133;2018-2019;Huesca;Spain;Spain;Midfielder
Juanmi;25;1523;5;2;5;1;41;19;3050;813;70;210;280;60;290;60;117;2018-2019;Real Sociedad;Spain;Spain;Forward
Juanpe;27;2767;0;0;8;0;0;7;12560;829;30;790;130;0;740;1730;94;2018-2019;Girona;Spain;Spain;Defender
Juanpi;24;670;2;2;2;0;54;2;1700;733;80;190;220;50;180;80;114;2018-2019;Huesca;Spain;Venezuela;Midfielder
Jules Keita;20;456;2;1;3;0;59;5;1070;781;80;210;200;20;100;0;76;2018-2019;Dijon;France;Guinea;Forward
Jules Koundé;19;3330;0;1;4;0;3;2;16350;820;80;1240;200;10;940;1880;111;2018-2019;Bordeaux;France;France;Defender
Julian Baumgartlinger;30;1559;0;1;2;0;6;0;12490;896;120;940;290;40;740;280;219;2018-2019;Leverkusen;Germany;Austria;Midfielder
Julian Brandt;22;2666;7;11;0;0;61;25;14530;775;830;1910;1510;330;380;80;167;2018-2019;Leverkusen;Germany;Germany;Midfielder
Julian Draxler;24;2046;3;7;6;0;44;16;14210;883;420;1320;880;150;460;20;226;2018-2019;Paris S-G;France;Germany;Midfielder
Julian Korb;26;1006;0;0;0;0;0;0;3870;718;100;580;150;0;470;350;5;2018-2019;Hannover 96;Germany;Germany;Defender
Julian Schieber;29;258;1;0;1;0;35;1;580;744;30;60;60;0;20;40;89;2018-2019;Augsburg;Germany;Germany;Forward
Julian Weigl;22;1455;1;0;3;0;6;1;11270;939;30;640;70;10;450;600;222;2018-2019;Dortmund;Germany;Germany;Defender
Julien Serrano;20;119;0;0;1;0;0;0;450;804;10;50;10;0;100;20;167;2018-2019;Monaco;France;France;Midfielder
Juninho Bacuna;20;1412;1;0;4;0;6;8;5580;733;180;810;400;0;690;140;38;2018-2019;Huddersfield;England;Cura�ao;Midfielder
Junior Firpo;21;1937;3;4;7;0;33;8;9150;808;190;700;350;40;510;390;146;2018-2019;Betis;Spain;Spain;Defender
Junior Hoilett;28;2141;3;1;4;0;17;9;3370;635;220;330;440;30;720;220;84;2018-2019;Cardiff City;England;Canada;Midfielder
Junior Sambia;21;926;0;1;3;0;1;8;3070;738;240;260;460;20;210;70;16;2018-2019;Montpellier;France;France;Midfielder
Junior Stanislas;28;1031;2;3;1;0;44;9;4050;760;140;600;300;30;200;130;113;2018-2019;Bournemouth;England;England;Midfielder
Juraj Kucka;31;1535;4;3;5;1;41;8;4000;687;140;590;310;30;760;450;89;2018-2019;Parma;Italy;Slovakia;Midfielder
Justin Hoogma;20;111;0;0;0;0;0;0;940;855;0;110;10;0;60;0;15;2018-2019;Hoffenheim;Germany;Netherlands;Defender
Justin Kluivert;19;1341;1;6;2;0;47;8;3510;745;330;330;610;90;320;50;162;2018-2019;Roma;Italy;Netherlands;Forward
Jérémy Grimm;31;168;0;0;2;0;0;1;660;857;0;20;0;0;80;50;16;2018-2019;Strasbourg;France;France;Midfielder
Jérémy Gélin;21;1278;0;0;3;1;0;2;7030;865;40;530;130;0;430;240;136;2018-2019;Rennes;France;France;Defender
Jérémy Morel;34;1064;0;0;4;0;0;0;6270;876;30;460;140;0;220;410;192;2018-2019;Lyon;France;Madagascar;Defender
Jérémy Pied;29;469;0;2;0;0;38;0;2640;779;70;250;90;20;150;220;236;2018-2019;Lille;France;France;Defender
Jérémy Sorbon;34;2647;1;0;2;0;3;1;8590;855;50;580;90;0;660;1450;73;2018-2019;Guingamp;France;France;Defender
Jérôme Boateng;29;1693;0;2;1;0;11;3;14310;881;90;1570;220;40;320;520;24;2018-2019;Bayern Munich;Germany;Germany;Defender
Jérôme Gondorf;30;1296;2;2;3;0;28;8;3670;694;210;490;350;40;450;180;96;2018-2019;Freiburg;Germany;Germany;Midfielder
Jérôme Roussillon;25;2461;3;4;4;0;26;9;10200;755;300;1210;480;110;680;490;15;2018-2019;Wolfsburg;Germany;France;Defender
Jóhann Berg Guðmundsson;27;1752;3;6;2;0;46;10;4040;660;370;430;650;90;570;340;10;2018-2019;Burnley;England;Iceland;Midfielder
Júlio Tavares;29;2805;5;4;4;0;29;20;4500;616;220;430;560;50;230;460;94;2018-2019;Dijon;France;Cape Verde;Forward
Júnior Alonso;25;536;0;0;2;0;0;2;2370;743;50;230;50;0;140;170;111;2018-2019;Celta Vigo;Spain;Paraguay;Defender
Júnior Tavares;21;184;0;0;1;0;0;1;1740;879;20;210;30;0;40;10;133;2018-2019;Sampdoria;Italy;Brazil;Defender
Jürgen Locadia;24;1236;2;0;1;0;15;9;2640;735;130;200;340;30;300;110;81;2018-2019;Brighton;England;Netherlands;Forward
Kaan Ayhan;23;2449;4;1;10;0;18;9;12650;885;50;780;230;10;1010;1320;132;2018-2019;Düsseldorf;Germany;Turkey;Defender
Kadeem Harris;25;375;1;0;1;0;24;3;640;640;50;70;90;0;80;20;146;2018-2019;Cardiff City;England;England;Midfielder
Kai Havertz;19;2894;17;3;2;0;62;39;15770;869;380;1420;1140;160;500;240;171;2018-2019;Leverkusen;Germany;Germany;Midfielder
Kalidou Koulibaly;27;3132;2;2;10;1;11;7;22420;886;70;1760;370;40;810;1360;209;2018-2019;Napoli;Italy;Senegal;Defender
Kalidou Sidibé;19;1259;1;0;8;0;7;2;4400;745;40;470;80;0;390;380;11;2018-2019;Toulouse;France;France;Midfielder
Kalifa Coulibaly;26;1751;8;2;6;1;51;16;2520;569;200;260;500;70;150;170;138;2018-2019;Nantes;France;Mali;Forward
Kamil Glik;30;2970;1;0;10;0;3;3;13560;844;30;970;130;20;790;2320;94;2018-2019;Monaco;France;Poland;Defender
Kara Mbodji;28;506;0;0;0;0;0;1;1570;777;0;110;50;0;150;250;167;2018-2019;Nantes;France;Senegal;Defender
Karim Bellarabi;28;1057;5;4;4;1;77;12;3420;694;230;480;420;60;230;70;168;2018-2019;Leverkusen;Germany;Germany;Forward
Karim Benzema;30;2953;21;6;1;0;82;41;10110;834;480;970;1190;120;230;250;181;2018-2019;Real Madrid;Spain;France;Forward
Karim Onisiwo;26;1161;7;3;2;0;78;15;1590;633;170;130;380;90;260;80;127;2018-2019;Mainz 05;Germany;Austria;Forward
Karim Rekik;23;2068;0;0;4;1;0;2;10230;880;10;590;40;0;730;1030;113;2018-2019;Hertha BSC;Germany;Netherlands;Defender
Karl Toko Ekambi;25;2144;10;1;5;0;46;32;3800;731;210;270;570;50;200;100;115;2018-2019;Villarreal;Spain;Cameroon;Forward
Karlan Grant;20;877;3;0;0;0;31;10;1470;690;80;110;200;20;50;20;38;2018-2019;Huddersfield;England;England;Forward
Karol Linetty;23;2507;3;3;11;0;22;14;10560;829;300;1130;650;90;920;130;144;2018-2019;Sampdoria;Italy;Poland;Midfielder
Kasim Nuhu;23;904;0;1;5;1;1;0;4260;796;10;610;40;10;360;370;154;2018-2019;Hoffenheim;Germany;Ghana;Defender
Kayne Ramsey;17;90;0;0;0;0;0;0;140;778;0;0;0;0;0;90;0;2018-2019;Southampton;England;England;Defender
Keagan Dolly;25;88;0;0;0;0;0;0;340;829;10;30;30;10;10;0;133;2018-2019;Montpellier;France;South Africa;Forward
Keita Baldé;23;889;5;2;2;1;71;17;2590;753;170;160;320;40;120;20;196;2018-2019;Inter;Italy;Senegal;Forward
Keko;26;1533;2;1;2;0;18;10;3450;641;140;400;420;30;450;150;69;2018-2019;Valladolid;Spain;Spain;Midfielder
Kelechi Iheanacho;21;941;1;3;2;0;38;6;2210;754;140;200;250;80;70;20;11;2018-2019;Leicester City;England;Nigeria;Forward
Kelvin Amian;20;2880;0;1;6;0;3;4;9380;790;80;860;250;10;1000;1210;109;2018-2019;Toulouse;France;France;Defender
Ken Sema;24;754;1;2;1;0;36;4;1730;692;60;160;200;20;250;50;188;2018-2019;Watford;England;Sweden;Midfielder
Kenan Karaman;24;919;3;1;0;0;39;8;1900;681;150;130;360;50;150;50;148;2018-2019;Düsseldorf;Germany;Turkey;Forward
Kenan Kodro;24;161;1;0;0;0;56;1;380;844;20;20;30;10;30;0;191;2018-2019;Athletic Club;Spain;Bosnia and Herzegovina;Forward
Kenedy;22;1348;1;1;1;0;13;5;3790;710;110;420;390;20;630;230;116;2018-2019;Newcastle Utd;England;Brazil;Midfielder
Kenneth Omeruo;24;2433;0;0;7;0;0;1;7680;815;20;420;70;0;760;2080;121;2018-2019;Leganés;Spain;Nigeria;Defender
Kenneth Zohore;24;753;1;1;1;0;24;7;1000;654;130;70;170;10;50;40;74;2018-2019;Cardiff City;England;Denmark;Forward
Kenny Lala;26;3060;5;9;4;0;41;9;16610;761;620;2110;960;160;910;470;141;2018-2019;Strasbourg;France;France;Defender
Kenny Rocha Santos;18;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;2018-2019;Saint-Étienne;France;Cape Verde;Defender
Kenny Tete;22;1048;0;3;1;0;26;2;6340;812;210;750;310;40;480;220;169;2018-2019;Lyon;France;Netherlands;Defender
Kerem Demirbay;25;2017;4;9;6;0;58;16;10960;772;830;1610;1350;120;720;310;146;2018-2019;Hoffenheim;Germany;Germany;Midfielder
Keven Schlotterbeck;21;773;0;0;1;0;0;1;3940;885;0;170;0;0;280;460;44;2018-2019;Freiburg;Germany;Germany;Defender
Kevin Akpoguma;23;313;0;0;2;0;0;0;1400;828;0;130;40;20;100;170;75;2018-2019;Hannover 96;Germany;Nigeria;Defender
Kevin Akpoguma;23;499;0;0;2;0;0;0;2290;845;0;280;20;0;290;130;163;2018-2019;Hoffenheim;Germany;Nigeria;Defender
Kevin Bonifazi;22;2301;2;1;2;0;12;3;10760;881;80;620;230;10;750;950;107;2018-2019;SPAL;Italy;Italy;Defender
Kevin Danso;19;1247;1;1;3;0;14;5;4530;741;10;420;40;10;430;830;117;2018-2019;Augsburg;Germany;Austria;Defender
Kevin De Bruyne;27;975;2;2;2;0;37;11;6260;763;330;860;630;60;260;30;253;2018-2019;Manchester City;England;Belgium;Midfielder
Kevin Goden;19;273;0;0;1;0;0;0;710;634;10;70;10;0;100;80;6;2018-2019;Nürnberg;Germany;Germany;Defender
Kevin Kampl;27;2113;2;5;5;0;3;14;12370;826;480;1440;940;110;640;160;204;2018-2019;RB Leipzig;Germany;Slovenia;Midfielder
Kevin Lasagna;25;2453;6;2;2;0;29;20;3240;678;190;220;530;60;230;360;111;2018-2019;Udinese;Italy;Italy;Forward
Kevin Long;27;514;0;1;0;0;18;0;1420;798;0;120;10;10;260;310;67;2018-2019;Burnley;England;Ireland;Defender
Kevin McDonald;29;841;0;0;5;1;0;0;4880;855;40;270;110;0;200;190;4;2018-2019;Fulham;England;Scotland;Midfielder
Kevin Mirallas;30;1299;2;1;2;0;21;9;3140;712;260;480;530;40;200;60;10;2018-2019;Fiorentina;Italy;Belgium;Forward
Kevin Möhwald;25;873;3;1;2;0;41;9;3930;804;90;470;210;20;300;210;161;2018-2019;Werder Bremen;Germany;Germany;Midfielder
Kevin Strootman;28;90;0;0;0;0;0;0;300;789;10;20;360;70;20;20;30;2018-2019;Roma;Italy;Netherlands;Midfielder
Kevin Strootman;28;1942;1;5;7;0;28;4;9570;804;200;1010;20;0;760;250;154;2018-2019;Marseille;France;Netherlands;Midfielder
Kevin Stöger;24;2118;1;7;8;0;34;9;11810;832;540;1610;940;80;970;200;148;2018-2019;Düsseldorf;Germany;Austria;Midfielder
Kevin Vogt;26;2391;0;0;5;0;0;1;16330;900;60;970;140;10;400;1300;168;2018-2019;Hoffenheim;Germany;Germany;Defender
Kevin Volland;26;2814;14;9;4;0;74;45;6750;728;390;740;840;170;390;310;171;2018-2019;Leverkusen;Germany;Germany;Forward
Kevin Vázquez;25;220;0;0;0;0;0;0;860;768;10;50;30;10;120;80;75;2018-2019;Celta Vigo;Spain;Spain;Defender
Kevin Wimmer;25;1683;0;0;5;0;0;0;8390;813;60;590;130;0;500;900;32;2018-2019;Hannover 96;Germany;Austria;Defender
Kevin-Prince Boateng;31;239;0;0;1;0;0;1;490;754;20;20;30;0;30;30;133;2018-2019;Barcelona;Spain;Ghana;Forward
Kevin-Prince Boateng;31;938;4;1;1;0;48;9;2550;797;150;160;270;40;80;90;123;2018-2019;Sassuolo;Italy;Ghana;Forward
Khaled Adénon;33;1994;0;0;7;1;0;0;8420;871;30;630;70;0;500;1180;91;2018-2019;Amiens;France;Benin;Defender
Khouma Babacar;25;1488;7;2;0;0;54;20;2480;818;110;120;300;90;140;230;121;2018-2019;Sassuolo;Italy;Senegal;Forward
Ki Sung-yueng;29;1302;0;1;2;0;7;2;5180;809;140;550;320;30;360;160;139;2018-2019;Newcastle Utd;England;South Korea;Midfielder
Kieran Trippier;27;2276;1;3;2;0;16;3;15300;767;480;1660;790;100;1050;830;204;2018-2019;Tottenham;England;England;Defender
Kike;28;1298;3;0;0;0;21;17;2810;692;140;200;320;0;110;30;12;2018-2019;Eibar;Spain;Spain;Forward
Kiko Femenía;27;2049;1;1;1;0;9;3;9600;814;140;870;310;30;930;720;114;2018-2019;Watford;England;Spain;Defender
Kiko Olivas;29;3100;0;0;6;0;0;1;11870;875;50;610;100;0;980;1830;117;2018-2019;Valladolid;Spain;Spain;Defender
Kingsley Coman;22;1378;6;4;2;0;65;18;5450;796;270;430;530;80;140;30;257;2018-2019;Bayern Munich;Germany;France;Forward
Kiril Despodov;21;105;0;0;0;0;0;0;70;412;0;0;10;0;0;0;15;2018-2019;Cagliari;Italy;Bulgaria;Forward
Koffi Djidji;25;1387;0;0;2;0;0;1;4970;835;0;320;30;10;610;770;135;2018-2019;Torino;Italy;C�te d'Ivoire;Defender
Koffi Djidji;25;90;0;0;0;0;0;0;440;880;0;40;0;0;30;40;0;2018-2019;Nantes;France;C�te d'Ivoire;Defender
Koke;26;2586;3;5;10;1;28;5;16980;825;590;1450;970;70;990;330;20;2018-2019;Atlético Madrid;Spain;Spain;Midfielder
Konrad Laimer;21;1874;1;1;7;0;1;5;5940;724;200;920;420;20;1040;160;20;2018-2019;RB Leipzig;Germany;Austria;Midfielder
Konstantinos Mavropanos;20;148;0;0;1;0;0;0;1250;940;10;80;20;0;70;70;15;2018-2019;Arsenal;England;Greece;Defender
Koo Ja-cheol;29;1640;2;1;3;0;16;7;5110;803;180;560;450;40;490;170;108;2018-2019;Augsburg;Germany;South Korea;Midfielder
Koray Günter;23;835;0;0;1;0;0;0;2870;842;50;170;80;0;320;500;10;2018-2019;Genoa;Italy;Germany;Defender
Kostas Manolas;27;2324;1;1;6;0;8;1;9180;882;30;530;90;20;670;1350;196;2018-2019;Roma;Italy;Greece;Defender
Kostas Mitroglou;30;580;3;0;0;0;47;9;720;706;40;20;70;10;0;40;129;2018-2019;Marseille;France;Greece;Forward
Kostas Stafylidis;24;920;0;0;1;0;0;1;4420;782;80;410;160;10;300;330;108;2018-2019;Augsburg;Germany;Greece;Defender
Kouadio Koné;17;68;0;0;0;0;0;0;420;894;10;20;20;0;30;0;0;2018-2019;Toulouse;France;France;Midfielder
Kouadio-Yves Dabila;21;782;0;0;2;0;0;0;3250;842;0;90;10;0;150;400;192;2018-2019;Lille;France;C�te d'Ivoire;Defender
Krzysztof Piątek;23;1373;9;0;0;0;59;19;1960;778;120;100;400;20;140;140;189;2018-2019;Milan;Italy;Poland;Forward
Krzysztof Piątek;23;1593;13;0;5;0;73;29;2270;707;160;210;350;30;130;190;105;2018-2019;Genoa;Italy;Poland;Forward
Kurt Zouma;23;2612;2;2;4;1;14;3;12090;863;40;790;110;20;840;1920;131;2018-2019;Everton;England;France;Defender
Kwadwo Asamoah;29;2671;0;1;6;0;3;1;19330;872;300;1750;720;20;750;490;184;2018-2019;Inter;Italy;Ghana;Defender
Kwon Chang-hoon;24;938;2;0;1;0;19;6;2440;701;120;280;200;0;120;70;79;2018-2019;Dijon;France;South Korea;Forward
Kyle Walker;28;2779;1;1;3;0;6;4;23430;882;230;1550;570;40;740;710;261;2018-2019;Manchester City;England;England;Defender
Kyle Walker-Peters;21;376;0;3;1;0;72;0;1850;822;80;120;120;50;130;50;217;2018-2019;Tottenham;England;England;Defender
Kylian Mbappé;19;2343;33;7;5;1;154;65;6370;774;440;760;1100;210;120;20;248;2018-2019;Paris S-G;France;France;Forward
Kévin Gameiro;31;1612;6;1;1;0;39;14;3340;770;250;250;520;60;170;50;161;2018-2019;Valencia;Spain;France;Forward
Kévin Malcuit;27;1805;0;2;3;0;1;3;10450;826;220;850;400;30;920;520;196;2018-2019;Napoli;Italy;Morocco;Defender
Kévin Monnet-Paquet;29;1482;1;1;4;0;12;7;5470;778;140;450;280;30;550;220;157;2018-2019;Saint-Étienne;France;France;Midfielder
Kévin N'Doram;22;195;0;0;2;0;0;1;1230;866;0;140;40;0;80;30;75;2018-2019;Monaco;France;France;Defender
Kévin Rimane;27;5;0;0;0;0;0;0;80;1000;0;30;10;10;0;0;30;2018-2019;Paris S-G;France;French Guiana;Midfielder
Kévin Rodrigues;24;484;0;0;1;0;0;1;1860;778;70;230;120;10;290;140;157;2018-2019;Real Sociedad;Spain;Portugal;Defender
Kévin Soni;20;82;0;0;1;0;0;1;190;731;30;10;50;0;50;0;6;2018-2019;Girona;Spain;Cameroon;Forward
Kévin Zohi;21;627;1;1;0;0;29;5;1410;734;50;200;140;20;200;40;13;2018-2019;Strasbourg;France;Mali;Forward
Ladislav Krejčí;26;1065;0;3;2;0;25;4;4910;814;180;490;320;40;180;190;139;2018-2019;Bologna;Italy;Czech Republic;Midfielder
Lamine Ghezali;19;44;1;0;1;0;205;1;170;654;0;30;10;0;10;20;217;2018-2019;Saint-Étienne;France;France;Forward
Lamine Koné;29;2152;1;1;2;0;8;2;9140;853;40;840;120;30;500;840;119;2018-2019;Strasbourg;France;C�te d'Ivoire;Defender
Lars Bender;29;1361;1;4;2;0;33;4;7850;832;120;840;270;60;560;260;15;2018-2019;Leverkusen;Germany;Germany;Defender
Lars Stindl;29;1508;3;1;3;0;24;11;6020;822;240;580;600;100;360;130;176;2018-2019;M'Gladbach;Germany;Germany;Forward
Lassana Diarra;33;159;0;0;0;0;0;0;1310;891;10;100;20;0;40;40;30;2018-2019;Paris S-G;France;France;Midfielder
Laurent Ciman;32;717;0;0;3;0;0;3;4950;871;20;400;100;10;160;350;56;2018-2019;Dijon;France;Belgium;Defender
Laurent Depoitre;29;1068;0;1;1;0;8;7;1690;631;100;150;200;10;130;70;35;2018-2019;Huddersfield;England;Belgium;Forward
Laurent Koscielny;32;1331;3;0;1;0;2;4;8080;928;20;260;70;0;440;950;153;2018-2019;Arsenal;England;France;Defender
Lautaro Martínez;20;1344;6;2;4;0;54;18;1780;701;180;250;330;40;80;70;174;2018-2019;Inter;Italy;Argentina;Forward
Layvin Kurzawa;25;1010;1;2;4;0;27;2;4890;862;90;370;210;30;280;230;216;2018-2019;Paris S-G;France;France;Defender
Lazar Marković;24;45;0;0;0;0;0;0;290;967;10;20;10;0;10;10;0;2018-2019;Fulham;England;Serbia;Forward
Leander Dendoncker;23;1467;2;0;1;0;12;9;5020;807;70;350;230;20;630;340;179;2018-2019;Wolves;England;Belgium;Midfielder
Leandro Bacuna;26;561;0;0;2;0;0;1;1140;679;10;150;50;0;280;160;136;2018-2019;Cardiff City;England;Cura�ao;Midfielder
Leandro Barreiro Martins;18;90;0;0;1;0;0;0;220;647;10;30;10;0;60;10;0;2018-2019;Mainz 05;Germany;Luxembourg;Midfielder
Leandro Cabrera;27;2794;2;0;11;1;6;7;5760;537;40;950;130;0;850;2570;156;2018-2019;Getafe;Spain;Uruguay;Defender
Leandro Paredes;24;1249;0;2;1;0;14;1;11680;896;190;1140;290;30;390;190;181;2018-2019;Paris S-G;France;Argentina;Midfielder
Lebo Mothiba;22;253;1;0;0;0;36;1;400;816;20;10;290;40;0;30;233;2018-2019;Lille;France;South Africa;Forward
Lebo Mothiba;22;1771;9;2;3;0;56;17;3430;790;110;140;40;0;110;90;119;2018-2019;Strasbourg;France;South Africa;Forward
Lebogang Phiri;23;1928;0;0;3;0;0;2;8910;872;150;900;300;10;860;180;79;2018-2019;Guingamp;France;South Africa;Midfielder
Lee Kangin;17;24;0;0;1;0;0;0;80;533;10;20;10;0;30;0;233;2018-2019;Valencia;Spain;South Korea;Forward
Lee Peltier;31;1544;0;0;4;0;0;1;2800;633;20;200;80;10;490;580;11;2018-2019;Cardiff City;England;England;Defender
Leighton Baines;33;375;0;0;0;0;0;1;2070;799;40;200;90;20;140;90;15;2018-2019;Everton;England;England;Defender
Lenny Pintor;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2018-2019;Lyon;France;France;Forward
Leo Dubois;23;2044;1;6;2;0;31;6;12470;835;240;1170;490;70;700;570;196;2018-2019;Lyon;France;France;Defender
Leo Štulac;23;1452;0;2;3;1;12;4;5640;803;220;470;380;30;370;360;119;2018-2019;Parma;Italy;Slovenia;Midfielder
Leon Bailey;20;1914;5;1;4;0;28;15;6370;663;440;620;740;20;340;80;155;2018-2019;Leverkusen;Germany;Jamaica;Forward
Leon Balogun;30;594;1;0;2;0;15;1;1760;786;0;50;0;0;330;330;125;2018-2019;Brighton;England;Nigeria;Defender
Leon Dajaku;17;27;0;0;0;0;0;0;40;667;0;0;0;0;0;0;0;2018-2019;Stuttgart;Germany;Germany;Midfielder
Leon Goretzka;23;2023;8;4;3;0;53;20;10370;874;150;780;430;70;490;150;23;2018-2019;Bayern Munich;Germany;Germany;Midfielder
Leonardo Bittencourt;24;1069;1;3;1;0;34;9;3630;738;170;410;440;40;440;10;157;2018-2019;Hoffenheim;Germany;Germany;Midfielder
Leonardo Bonucci;31;2472;3;0;2;0;11;4;13990;869;70;880;210;20;390;1030;245;2018-2019;Juventus;Italy;Italy;Defender
Leonardo Capezzi;23;772;0;0;4;0;0;1;4590;841;30;410;70;0;270;80;115;2018-2019;Empoli;Italy;Italy;Midfielder
Leonardo Pavoletti;29;2734;16;1;6;0;56;33;6230;711;200;340;550;40;440;190;116;2018-2019;Cagliari;Italy;Italy;Forward
Leonardo Sernicola;21;6;0;0;0;0;0;0;40;1000;0;0;0;0;0;0;0;2018-2019;Sassuolo;Italy;Italy;Forward
Leonardo Spinazzola;25;601;0;1;0;0;15;0;3030;791;70;350;200;20;90;50;15;2018-2019;Juventus;Italy;Italy;Defender
Leonardo Suárez;22;517;2;0;0;0;35;4;1140;765;30;170;140;30;50;10;133;2018-2019;Valladolid;Spain;Argentina;Forward
Leroy Sané;22;1867;10;10;1;0;96;24;7490;784;360;760;730;140;320;40;248;2018-2019;Manchester City;England;Germany;Forward
Levan Mchedlidze;28;208;0;1;1;0;43;1;300;698;30;20;50;10;10;30;55;2018-2019;Empoli;Italy;Georgia;Forward
Levin Öztunalı;22;921;0;1;3;0;1;7;1940;676;70;220;180;10;230;80;10;2018-2019;Mainz 05;Germany;Germany;Midfielder
Lewis Cook;21;723;0;0;2;0;0;0;3290;820;20;360;130;30;210;80;154;2018-2019;Bournemouth;England;England;Midfielder
Lewis Dunk;26;3151;2;1;6;1;9;4;12360;833;100;400;160;10;890;2320;97;2018-2019;Brighton;England;England;Defender
Linton Maina;19;1414;1;3;0;0;25;2;3810;738;180;510;420;40;500;100;65;2018-2019;Hannover 96;Germany;Germany;Midfielder
Lionel Carole;27;1727;0;3;2;0;16;2;8150;781;220;1060;340;60;580;560;139;2018-2019;Strasbourg;France;France;Defender
Lionel Messi;31;2713;36;13;3;0;163;85;15240;786;910;2810;2190;340;200;0;235;2018-2019;Barcelona;Spain;Argentina;Forward
Lluis López;21;521;0;0;0;0;0;1;1980;828;0;150;20;0;80;290;117;2018-2019;Espanyol;Spain;Spain;Defender
Lluís Sastre;32;120;0;0;0;0;0;0;740;779;10;100;20;0;50;10;10;2018-2019;Huesca;Spain;Spain;Midfielder
Lois Diony;25;1591;5;1;3;0;34;16;2200;649;190;150;370;30;180;90;167;2018-2019;Saint-Étienne;France;France;Forward
Loren Morón;24;1957;6;0;4;0;28;27;2720;743;120;230;350;20;260;160;112;2018-2019;Betis;Spain;Spain;Forward
Lorenco Šimić;22;238;0;0;0;0;0;0;1210;834;0;60;10;0;220;160;163;2018-2019;SPAL;Italy;Croatia;Defender
Lorenzo Ariaudo;29;1682;0;0;2;0;0;1;5120;842;30;190;100;0;310;1240;58;2018-2019;Frosinone;Italy;Italy;Defender
Lorenzo Crisetig;25;507;0;0;3;0;0;0;1690;854;10;120;50;0;200;100;5;2018-2019;Frosinone;Italy;Italy;Midfielder
